timestamp,open,high,low,close
2026-09-14 00:00,142.50,145.20,141.00,144.80
2026-09-14 01:00,144.80,146.50,143.20,143.50
2026-09-14 02:00,143.50,147.00,142.80,146.20
2026-09-14 03:00,146.20,148.50,145.00,147.80
2026-09-14 04:00,147.80,149.20,146.50,146.90
2026-09-14 05:00,146.90,148.00,144.00,144.50
2026-09-14 06:00,144.50,146.20,143.00,145.80
2026-09-14 07:00,145.80,150.50,145.20,150.00
2026-09-14 08:00,150.00,151.80,148.50,149.20
2026-09-14 09:00,149.20,150.00,146.00,146.50
2026-09-14 10:00,146.50,148.20,145.80,147.50
2026-09-14 11:00,147.50,149.00,146.20,148.80
2026-09-14 12:00,148.80,152.00,148.00,151.50
2026-09-14 13:00,151.50,153.20,150.00,150.80
2026-09-14 14:00,150.80,151.50,148.20,148.50
2026-09-14 15:00,148.50,149.80,147.00,149.20
2026-09-14 16:00,149.20,150.50,148.00,150.00
2026-09-14 17:00,150.00,154.00,149.50,153.50
2026-09-14 18:00,153.50,155.20,152.00,152.50
2026-09-14 19:00,152.50,153.00,149.80,150.20
2026-09-14 20:00,150.20,151.50,148.50,149.00
2026-09-14 21:00,149.00,150.80,147.50,150.50
2026-09-14 22:00,150.50,153.00,150.00,152.80
2026-09-14 23:00,152.80,156.00,152.00,155.50
